Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-MAR-2024,22371.25,22416.9,22269.15,22356.3,296153036,29165.37
06-MAR-2024,22327.5,22497.2,22224.35,22474.05,312262560,31029.01
07-MAR-2024,22505.3,22525.65,22430,22493.55,379865142,33558.46
11-MAR-2024,22517.5,22526.6,22307.25,22332.65,277897373,27222.37
12-MAR-2024,22334.45,22452.55,22256,22335.7,299201167,29781.12
13-MAR-2024,22432.2,22446.75,21905.65,21997.7,493341697,40109.23
14-MAR-2024,21982.55,22204.6,21917.5,22146.65,426742460,37348.3
15-MAR-2024,22064.85,22120.9,21931.7,22023.35,661460455,60260.88
18-MAR-2024,21990.1,22123.7,21916.55,22055.7,356321519,23015.51
19-MAR-2024,21946.45,21978.3,21793.1,21817.45,344157465,30291.6
20-MAR-2024,21843.9,21930.9,21710.2,21839.1,312414696,28939.85
21-MAR-2024,21989.9,22080.95,21941.3,22011.95,353172434,31258.4
22-MAR-2024,21932.2,22180.7,21883.3,22096.75,388656439,39023.19
26-MAR-2024,21947.9,22073.2,21947.55,22004.7,328403719,33382.08
27-MAR-2024,22053.95,22193.6,22052.85,22123.65,409136866,38830.73
28-MAR-2024,22163.6,22516,22163.6,22326.9,407422815,45656.57
01-APR-2024,22455,22529.95,22427.75,22462,243637071,21420.69
02-APR-2024,22458.8,22497.6,22388.15,22453.3,289524237,27940.93
03-APR-2024,22385.7,22521.1,22346.5,22434.65,309647491,30793.28
04-APR-2024,22592.1,22619,22303.8,22514.65,400986156,40705.56
05-APR-2024,22486.4,22537.6,22427.6,22513.7,242244731,24797.82
08-APR-2024,22578.35,22697.3,22550.35,22666.3,227633561,22480.2
09-APR-2024,22765.1,22768.4,22612.25,22642.75,232356772,21651.69
10-APR-2024,22720.25,22775.7,22673.7,22753.8,276847931,25355.05
12-APR-2024,22677.4,22726.45,22503.75,22519.4,357187778,36456.91
15-APR-2024,22339.05,22427.45,22259.55,22272.5,355465814,29474.59
16-APR-2024,22125.3,22213.75,22079.45,22147.9,317267066,28661.04
18-APR-2024,22212.35,22326.5,21961.7,21995.85,456906707,43314.67
